S_INFO_WINDCODE,S_INFO_NAME,S_INFO_LISTDATE,S_INFO_DELISTDATE,code
000535.SZ,*ST 猴王,19931130,20050921.0,000535
000536.SZ,华映科技,19931126,,000536
000537.SZ,广宇发展,19931210,,000537
000538.SZ,云南白药,19931215,,000538
000539.SZ,粤电力Ａ,19931126,,000539
000540.SZ,中天金融,19940202,,000540
000541.SZ,佛山照明,19931123,,000541
000542.SZ,TCL 通讯,19931201,20040113.0,000542
000543.SZ,皖能电力,19931220,,000543
000544.SZ,中原环保,19931208,,000544
000545.SZ,金浦钛业,19931215,,000545
000546.SZ,金圆股份,19931215,,000546
000547.SZ,航天发展,19931130,,000547
000548.SZ,湖南投资,19931220,,000548
000549.SZ,S 湘火炬,19931220,20070427.0,000549
000550.SZ,江铃汽车,19931201,,000550
000551.SZ,创元科技,19940106,,000551
000552.SZ,靖远煤电,19940106,,000552
000553.SZ,安道麦Ａ,19931203,,000553
000554.SZ,泰山石油,19931215,,000554
000555.SZ,神州信息,19940408,,000555
000556.SZ,PT 南 洋,19940525,20020529.0,000556
000557.SZ,西部创业,19940617,,000557
000558.SZ,莱茵体育,19940509,,000558
000559.SZ,万向钱潮,19940110,,000559
000560.SZ,我爱我家,19940202,,000560
000561.SZ,烽火电子,19940509,,000561
000562.SZ,宏源证券,19940202,20150126.0,000562
000563.SZ,陕国投Ａ,19940110,,000563
000564.SZ,ST 大 集,19940110,,000564
000565.SZ,渝三峡Ａ,19940408,,000565
000566.SZ,海南海药,19940525,,000566
000567.SZ,海德股份,19940525,,000567
000568.SZ,泸州老窖,19940509,,000568
000569.SZ,长城股份,19940425,20090506.0,000569
000570.SZ,苏常柴Ａ,19940701,,000570
000571.SZ,ST 大 洲,19940525,,000571
000572.SZ,海马汽车,19940808,,000572
000573.SZ,粤宏远Ａ,19940815,,000573
000576.SZ,甘化科工,19940907,,000576
000578.SZ,盐湖集团,19950303,20110322.0,000578
000581.SZ,威孚高科,19980924,,000581
000582.SZ,北部湾港,19951102,,000582
000583.SZ,S*ST托普,19951101,20070521.0,000583
000584.SZ,哈工智能,19951128,,000584
000585.SZ,东 电 退,19951213,20220524.0,000585
000586.SZ,汇源通信,19951220,,000586
000587.SZ,*ST 金洲,19960425,,000587
000588.SZ,PT粤金曼,19960123,20010615.0,000588
000589.SZ,贵州轮胎,19960308,,000589
000590.SZ,启迪药业,19960119,,000590
000591.SZ,太 阳 能,19960208,,000591
000592.SZ,平潭发展,19960327,,000592
000593.SZ,德龙汇能,19960312,,000593
000594.SZ,国 恒 退,19960320,20150713.0,000594
000595.SZ,宝塔实业,19960419,,000595
000596.SZ,古井贡酒,19960927,,000596
000597.SZ,东北制药,19960523,,000597
000598.SZ,兴蓉环境,19960529,,000598
000599.SZ,青岛双星,19960430,,000599
000600.SZ,建投能源,19960606,,000600
000601.SZ,韶能股份,19960830,,000601
000602.SZ,金马集团,19960819,20130814.0,000602
000603.SZ,盛达资源,19960823,,000603
000605.SZ,渤海股份,19960913,,000605
000606.SZ,*ST 顺利,19961004,,000606
000607.SZ,华媒控股,19960830,,000607
000608.SZ,阳光股份,19960919,,000608
000609.SZ,中迪投资,19961010,,000609
000610.SZ,西安旅游,19960926,,000610
000611.SZ,天 首 退,19961008,20220628.0,000611
000612.SZ,焦作万方,19960926,,000612
000613.SZ,东海Ａ退,19970128,20220629.0,000613
000615.SZ,奥园美谷,19961016,,000615
000616.SZ,ST 海 投,19961108,,000616
000617.SZ,中油资本,19961022,,000617
000618.SZ,吉林化工,19961015,20060220.0,000618
000619.SZ,海螺新材,19961023,,000619
000620.SZ,新 华 联,19961029,,000620
000621.SZ,*ST 比特,19961105,20040927.0,000621
000622.SZ,恒立实业,19961107,,000622
000623.SZ,吉林敖东,19961028,,000623
000625.SZ,长安汽车,19970610,,000625
000626.SZ,远大控股,19961128,,000626
000627.SZ,天茂集团,19961112,,000627
000628.SZ,高新发展,19961118,,000628
000629.SZ,钒钛股份,19961115,,000629
000630.SZ,铜陵有色,19961120,,000630
000631.SZ,顺发恒业,19961122,,000631
000632.SZ,三木集团,19961121,,000632
000633.SZ,合金投资,19961112,,000633
000635.SZ,英 力 特,19961120,,000635
000636.SZ,风华高科,19961129,,000636
000637.SZ,茂化实华,19961114,,000637
000638.SZ,万方发展,19961126,,000638
000639.SZ,西王食品,19961126,,000639
000650.SZ,仁和药业,19961210,,000650
000651.SZ,格力电器,19961118,,000651
000652.SZ,泰达股份,19961128,,000652
000653.SZ,ST 九 州,19961126,20020913.0,000653
000655.SZ,金岭矿业,19961128,,000655
000656.SZ,金科股份,19961128,,000656
000657.SZ,中钨高新,19961205,,000657
000658.SZ,ST 海 洋,19961218,20020920.0,000658
000659.SZ,珠海中富,19961203,,000659
000660.SZ,*ST 南华,19961209,20040913.0,000660
000661.SZ,长春高新,19961218,,000661
000662.SZ,天 夏 退,19961216,20210412.0,000662
000663.SZ,永安林业,19961206,,000663
000665.SZ,湖北广电,19961210,,000665
000666.SZ,经纬纺机,19961210,,000666
000667.SZ,美好置业,19961205,,000667
000668.SZ,荣丰控股,19961210,,000668
000669.SZ,ST 金 鸿,19961210,,000669
000670.SZ,盈 方 微,19961217,,000670
000671.SZ,阳 光 城,19961218,,000671
000672.SZ,上峰水泥,19961218,,000672
000673.SZ,当 代 退,19970124,20220704.0,000673
000675.SZ,ST 银 山,19961226,20020820.0,000675
000676.SZ,智度股份,19961224,,000676
000677.SZ,恒天海龙,19961226,,000677
000678.SZ,襄阳轴承,19970106,,000678
000679.SZ,大连友谊,19970124,,000679
000680.SZ,山推股份,19970122,,000680
000681.SZ,视觉中国,19970121,,000681
000682.SZ,东方电子,19970121,,000682
000683.SZ,远兴能源,19970131,,000683
000685.SZ,中山公用,19970123,,000685
000686.SZ,东北证券,19970227,,000686
000687.SZ,华 讯 退,19970221,20220617.0,000687
000688.SZ,国城矿业,19970120,,000688
000689.SZ,ST 宏 业,19961231,20020905.0,000689
000690.SZ,宝新能源,19970128,,000690
000691.SZ,亚太实业,19970228,,000691
000692.SZ,惠天热电,19970227,,000692
000693.SZ,华 泽 退,19970226,20190709.0,000693
000695.SZ,滨海能源,19970218,,000695
000697.SZ,炼石航空,19970325,,000697
000698.SZ,沈阳化工,19970220,,000698
000699.SZ,S*ST佳纸,19970310,20070404.0,000699
000700.SZ,模塑科技,19970228,,000700
000701.SZ,厦门信达,19970226,,000701
000702.SZ,正虹科技,19970318,,000702
000703.SZ,恒逸石化,19970328,,000703
000705.SZ,浙江震元,19970410,,000705
000707.SZ,双环科技,19970415,,000707
000708.SZ,中信特钢,19970326,,000708
000709.SZ,河钢股份,19970416,,000709
000710.SZ,贝瑞基因,19970422,,000710
000711.SZ,京蓝科技,19970411,,000711
000712.SZ,锦龙股份,19970415,,000712
000713.SZ,丰乐种业,19970422,,000713
000715.SZ,中兴商业,19970508,,000715
000716.SZ,黑 芝 麻,19970418,,000716
000717.SZ,中南股份,19970508,,000717
000718.SZ,苏宁环球,19970408,,000718
000719.SZ,中原传媒,19970331,,000719
000720.SZ,新能泰山,19970509,,000720
000721.SZ,西安饮食,19970430,,000721
000722.SZ,湖南发展,19970522,,000722
000723.SZ,美锦能源,19970515,,000723
000725.SZ,京东方Ａ,20010112,,000725
000726.SZ,鲁 泰 Ａ,20001225,,000726
000727.SZ,冠捷科技,19970520,,000727
000728.SZ,国元证券,19970616,,000728
000729.SZ,燕京啤酒,19970716,,000729
000730.SZ,*ST 环保,19970522,20040924.0,000730
000731.SZ,四川美丰,19970617,,000731
000732.SZ,ST 泰 禾,19970704,,000732
000733.SZ,振华科技,19970703,,000733
000735.SZ,罗 牛 山,19970611,,000735
000736.SZ,中交地产,19970425,,000736
000737.SZ,北方铜业,19970428,,000737
000738.SZ,航发控制,19970626,,000738
000739.SZ,普洛药业,19970509,,000739
000748.SZ,长城信息,19970704,20170118.0,000748
000750.SZ,国海证券,19970709,,000750
000751.SZ,锌业股份,19970626,,000751
000752.SZ,*ST 西发,19970625,,000752
000753.SZ,漳州发展,19970626,,000753
000755.SZ,山西路桥,19970627,,000755
000756.SZ,新华制药,19970806,,000756
000757.SZ,浩物股份,19970627,,000757
000758.SZ,中色股份,19970416,,000758
000759.SZ,中百集团,19970519,,000759
000760.SZ,斯 太 退,19970627,20210723.0,000760
000761.SZ,本钢板材,19980115,,000761
000762.SZ,西藏矿业,19970708,,000762
000763.SZ,锦州石化,19970915,20060104.0,000763
000765.SZ,*ST 华信,19971103,20050704.0,000765
000766.SZ,通化金马,19970430,,000766
000767.SZ,晋控电力,19970609,,000767
000768.SZ,中航西飞,19970626,,000768
000769.SZ,*ST 大菲,19970530,20050921.0,000769
000776.SZ,广发证券,19970611,,000776
000777.SZ,中核科技,19970710,,000777
000778.SZ,新兴铸管,19970606,,000778
000779.SZ,甘 咨 询,19970528,,000779
000780.SZ,ST 平 能,19970606,20220124.0,000780
000782.SZ,美达股份,19970619,,000782
000783.SZ,长江证券,19970731,,000783
000785.SZ,居然之家,19970711,,000785
000786.SZ,北新建材,19970606,,000786
000787.SZ,*ST 创智,19970626,20130208.0,000787
000788.SZ,北大医药,19970616,,000788
000789.SZ,万 年 青,19970923,,000789
000790.SZ,华神科技,19980327,,000790
000791.SZ,甘肃电投,19971014,,000791
000792.SZ,盐湖股份,19970904,,000792
000793.SZ,华闻集团,19970729,,000793
000795.SZ,英 洛 华,19970808,,000795
000796.SZ,ST 凯 撒,19970703,,000796
000797.SZ,中国武夷,19970715,,000797
000798.SZ,中水渔业,19980212,,000798
000799.SZ,酒 鬼 酒,19970718,,000799
000800.SZ,一汽解放,19970618,,000800
000801.SZ,四川九洲,19980506,,000801
000802.SZ,北京文化,19980108,,000802
000803.SZ,山高环能,19980303,,000803
000805.SZ,*ST 炎黄,19980529,20130327.0,000805
000806.SZ,*ST 银河,19980416,,000806
000807.SZ,云铝股份,19980408,,000807
000809.SZ,ST 新 城,19980616,,000809
000810.SZ,创维数字,19980602,,000810
000811.SZ,冰轮环境,19980528,,000811
000812.SZ,陕西金叶,19980623,,000812
000813.SZ,德展健康,19980519,,000813
000815.SZ,美 利 云,19980609,,000815
000816.SZ,智慧农业,19970818,,000816
000817.SZ,辽河油田,19980528,20060104.0,000817
000818.SZ,航锦科技,19971017,,000818
000819.SZ,岳阳兴长,19970625,,000819
000820.SZ,神雾节能,19980630,,000820
000821.SZ,京山轻机,19980626,,000821
000822.SZ,山东海化,19980703,,000822
000823.SZ,超声电子,19971008,,000823
000825.SZ,太钢不锈,19981021,,000825
000826.SZ,启迪环境,19980225,,000826
000827.SZ,*ST 长兴,19981016,20050921.0,000827
000828.SZ,东莞控股,19970617,,000828
000829.SZ,天音控股,19971202,,000829
000830.SZ,鲁西化工,19980807,,000830
000831.SZ,中国稀土,19980911,,000831
000832.SZ,*ST 龙涤,19980825,20060629.0,000832
000833.SZ,粤桂股份,19981111,,000833
000835.SZ,长 动 退,19990625,20220523.0,000835
000836.SZ,富通信息,19970929,,000836
000837.SZ,秦川机床,19980928,,000837
000838.SZ,财信发展,19970626,,000838
000839.SZ,ST 国 安,19971031,,000839
000848.SZ,承德露露,19971113,,000848
000850.SZ,华茂股份,19981007,,000850
000851.SZ,高鸿股份,19980609,,000851
000852.SZ,石化机械,19981126,,000852
000856.SZ,冀东装备,19980813,,000856
000858.SZ,五 粮 液,19980427,,000858
000859.SZ,国风新材,19981119,,000859
000860.SZ,顺鑫农业,19981104,,000860
000861.SZ,海印股份,19981028,,000861
000862.SZ,银星能源,19980915,,000862
000863.SZ,三湘印象,19970925,,000863
000866.SZ,扬子石化,19980512,20060421.0,000866
000868.SZ,安凯客车,19970725,,000868
000869.SZ,张 裕 Ａ,20001026,,000869
000875.SZ,吉电股份,20020926,,000875
000876.SZ,新 希 望,19980311,,000876
000877.SZ,天山股份,19990107,,000877
000878.SZ,云南铜业,19980602,,000878
000880.SZ,潍柴重机,19980402,,000880
000881.SZ,中广核技,19980902,,000881
000882.SZ,华联股份,19980616,,000882
000883.SZ,湖北能源,19980519,,000883
000885.SZ,城发环境,19990319,,000885
000886.SZ,海南高速,19980123,,000886
000887.SZ,中鼎股份,19981203,,000887
000888.SZ,峨眉山Ａ,19971021,,000888
000889.SZ,ST 中 嘉,19971218,,000889
000890.SZ,法 尔 胜,19990119,,000890
000892.SZ,欢瑞世纪,19990115,,000892
000893.SZ,亚钾国际,19981224,,000893
000895.SZ,双汇发展,19981210,,000895
000897.SZ,津滨发展,19990422,,000897
000898.SZ,鞍钢股份,19971225,,000898
000899.SZ,赣能股份,19971126,,000899
000900.SZ,现代投资,19990128,,000900
000901.SZ,航天科技,19990401,,000901
000902.SZ,新 洋 丰,19990408,,000902
000903.SZ,云内动力,19990415,,000903
000905.SZ,厦门港务,19990429,,000905
000906.SZ,浙商中拓,19990707,,000906
000908.SZ,景峰医药,19990203,,000908
000909.SZ,数源科技,19990507,,000909
000910.SZ,大亚圣象,19990630,,000910
000911.SZ,南宁糖业,19990527,,000911
000912.SZ,泸 天 化,19990603,,000912
000913.SZ,钱江摩托,19990514,,000913
000915.SZ,华特达因,19990609,,000915
000916.SZ,华北高速,19990927,20171225.0,000916
000917.SZ,电广传媒,19990325,,000917
000918.SZ,嘉 凯 城,19990720,,000918
000919.SZ,金陵药业,19991118,,000919
000920.SZ,沃顿科技,19990616,,000920
000921.SZ,海信家电,19990713,,000921
000922.SZ,佳电股份,19990618,,000922
000923.SZ,河钢资源,19990714,,000923
000925.SZ,众合科技,19990611,,000925
000926.SZ,福星股份,19990618,,000926
000927.SZ,中国铁物,19990727,,000927
000928.SZ,中钢国际,19990312,,000928
000929.SZ,兰州黄河,19990623,,000929
000930.SZ,中粮科技,19990712,,000930
000931.SZ,中 关 村,19990712,,000931
000932.SZ,华菱钢铁,19990803,,000932
000933.SZ,神火股份,19990831,,000933
000935.SZ,四川双马,19990824,,000935
000936.SZ,华西股份,19990810,,000936
000937.SZ,冀中能源,19990909,,000937
000938.SZ,紫光股份,19991104,,000938
000939.SZ,凯 迪 退,19990923,20201217.0,000939
000948.SZ,南天信息,19991014,,000948
000949.SZ,新乡化纤,19991021,,000949
000950.SZ,重药控股,19990916,,000950
000951.SZ,中国重汽,19991125,,000951
000952.SZ,广济药业,19991112,,000952
000953.SZ,河化股份,19991202,,000953
000955.SZ,欣龙控股,19991209,,000955
000956.SZ,中原油气,19991110,20060421.0,000956
000957.SZ,中通客车,20000113,,000957
000958.SZ,电投产融,19991223,,000958
000959.SZ,首钢股份,19991216,,000959
000960.SZ,锡业股份,20000221,,000960
000961.SZ,中南建设,20000301,,000961
000962.SZ,东方钽业,20000120,,000962
000963.SZ,华东医药,20000127,,000963
000965.SZ,天保基建,20000406,,000965
000966.SZ,长源电力,20000316,,000966
000967.SZ,盈峰环境,20000330,,000967
000968.SZ,蓝焰控股,20000622,,000968
000969.SZ,安泰科技,20000529,,000969
000970.SZ,中科三环,20000420,,000970
000971.SZ,ST 高 升,20000427,,000971
000972.SZ,ST 中 基,20000926,,000972
000973.SZ,佛塑科技,20000525,,000973
000975.SZ,银泰黄金,20000608,,000975
000976.SZ,华铁股份,20000601,,000976
000977.SZ,浪潮信息,20000608,,000977
000978.SZ,桂林旅游,20000518,,000978
000979.SZ,中 弘 退,20000616,20181228.0,000979
000980.SZ,众泰汽车,20000616,,000980
000981.SZ,银亿股份,20000622,,000981
000982.SZ,中银绒业,20000706,,000982
000983.SZ,山西焦煤,20000726,,000983
000985.SZ,大庆华科,20000726,,000985
000987.SZ,越秀金控,20000718,,000987
000988.SZ,华工科技,20000608,,000988
000989.SZ,九 芝 堂,20000628,,000989
000990.SZ,诚志股份,20000706,,000990
000993.SZ,闽东电力,20000731,,000993
000995.SZ,*ST 皇台,20000807,,000995
000996.SZ,中国中期,20000718,,000996
000997.SZ,新 大 陆,20000807,,000997
000998.SZ,隆平高科,20001211,,000998
000999.SZ,华润三九,20000309,,000999
001201.SZ,东瑞股份,20210428,,001201
001202.SZ,炬申股份,20210429,,001202
001203.SZ,大中矿业,20210510,,001203
001205.SZ,盛航股份,20210513,,001205
001206.SZ,依依股份,20210518,,001206
001207.SZ,联科科技,20210623,,001207
001208.SZ,华菱线缆,20210624,,001208
001209.SZ,洪兴股份,20210723,,001209
001210.SZ,金房节能,20210729,,001210
001211.SZ,双枪科技,20210805,,001211
001212.SZ,中旗新材,20210823,,001212
001213.SZ,中铁特货,20210908,,001213
001215.SZ,千味央厨,20210906,,001215
001216.SZ,华瓷股份,20211019,,001216
001217.SZ,华 尔 泰,20210929,,001217
001218.SZ,丽臣实业,20211015,,001218
001219.SZ,青岛食品,20211021,,001219
001222.SZ,源飞宠物,20220818,,001222
001226.SZ,拓山重工,20220622,,001226
001227.SZ,兰州银行,20220117,,001227
001228.SZ,永 泰 运,20220429,,001228
001229.SZ,魅视科技,20220808,,001229
001230.SZ,劲旅环境,20220715,,001230
001231.SZ,农心科技,20220819,,001231
001234.SZ,泰 慕 士,20220111,,001234
001236.SZ,弘业期货,20220805,,001236
001238.SZ,浙江正特,20220919,,001238
001255.SZ,博菲电气,20220930,,001255
001258.SZ,立新能源,20220727,,001258
001259.SZ,利仁科技,20220831,,001259
001266.SZ,宏英智能,20220228,,001266
001267.SZ,汇绿生态,20211117,,001267
001268.SZ,联合精密,20220630,,001268
001269.SZ,欧晶科技,20220930,,001269
001270.SZ,铖昌科技,20220606,,001270
001283.SZ,豪鹏科技,20220905,,001283
001288.SZ,运机集团,20211101,,001288
001289.SZ,龙源电力,20220124,,001289
001296.SZ,长江材料,20211224,,001296
001298.SZ,好 上 好,20221031,,001298
001299.SZ,美能能源,20221031,,001299
001300.SZ,三 柏 硕,20221019,,001300
001308.SZ,康冠科技,20220318,,001308
001309.SZ,德 明 利,20220701,,001309
001313.SZ,粤海饲料,20220216,,001313
001316.SZ,润贝航科,20220624,,001316
001317.SZ,三 羊 马,20211130,,001317
001318.SZ,阳光乳业,20220520,,001318
001319.SZ,铭科精技,20220512,,001319
001322.SZ,箭牌家居,20221026,,001322
001323.SZ,慕思股份,20220623,,001323
001330.SZ,博纳影业,20220818,,001330
001331.SZ,胜通能源,20220908,,001331
001332.SZ,锡装股份,20220920,,001332
001336.SZ,楚环科技,20220725,,001336
001338.SZ,永 顺 泰,20221116,,001338
001339.SZ,智微智能,20220815,,001339
001696.SZ,宗申动力,19970306,,001696
001872.SZ,招商港口,19930505,,001872
001896.SZ,豫能控股,19980122,,001896
001914.SZ,招商积余,19940928,,001914
001965.SZ,招商公路,20171225,,001965
001979.SZ,招商蛇口,20151230,,001979
002001.SZ,新 和 成,20040625,,002001
002002.SZ,鸿达兴业,20040625,,002002
002003.SZ,伟星股份,20040625,,002003
002004.SZ,华邦健康,20040625,,002004
002005.SZ,ST 德 豪,20040625,,002005
002006.SZ,精功科技,20040625,,002006
002007.SZ,华兰生物,20040625,,002007
002008.SZ,大族激光,20040625,,002008
002009.SZ,天奇股份,20040629,,002009
002010.SZ,传化智联,20040629,,002010
002011.SZ,盾安环境,20040705,,002011
002012.SZ,凯恩股份,20040705,,002012
002013.SZ,中航机电,20040705,,002013
002014.SZ,永新股份,20040708,,002014
002015.SZ,协鑫能科,20040708,,002015
002016.SZ,世荣兆业,20040708,,002016
002017.SZ,东信和平,20040713,,002017
002018.SZ,华 信 退,20040713,20191101.0,002018
002019.SZ,亿帆医药,20040713,,002019
002020.SZ,京新药业,20040715,,002020
002021.SZ,ST 中 捷,20040715,,002021
002022.SZ,*ST 科华,20040721,,002022
002023.SZ,海特高新,20040721,,002023
002024.SZ,ST 易 购,20040721,,002024
002025.SZ,航天电器,20040726,,002025
002026.SZ,山东威达,20040727,,002026
002027.SZ,分众传媒,20040804,,002027
002028.SZ,思源电气,20040805,,002028
002029.SZ,七 匹 狼,20040806,,002029
002030.SZ,达安基因,20040809,,002030
002031.SZ,巨轮智能,20040816,,002031
002032.SZ,苏 泊 尔,20040817,,002032
002033.SZ,丽江股份,20040825,,002033
002034.SZ,旺能环境,20040826,,002034
002035.SZ,华帝股份,20040901,,002035
002036.SZ,联创电子,20040903,,002036
002037.SZ,保利联合,20040908,,002037
002038.SZ,双鹭药业,20040909,,002038
002039.SZ,黔源电力,20050303,,002039
002040.SZ,南 京 港,20050325,,002040
002041.SZ,登海种业,20050418,,002041
002042.SZ,华孚时尚,20050427,,002042
002043.SZ,兔 宝 宝,20050510,,002043
002044.SZ,美年健康,20050518,,002044
002045.SZ,国光电器,20050523,,002045
002046.SZ,国机精工,20050526,,002046
002047.SZ,宝鹰股份,20050531,,002047
002048.SZ,宁波华翔,20050603,,002048
002049.SZ,紫光国微,20050606,,002049
002050.SZ,三花智控,20050607,,002050
002051.SZ,中工国际,20060619,,002051
002052.SZ,*ST 同洲,20060627,,002052
002053.SZ,云南能投,20060627,,002053
002054.SZ,德美化工,20060725,,002054
002055.SZ,得润电子,20060725,,002055
002056.SZ,横店东磁,20060802,,002056
002057.SZ,中钢天源,20060802,,002057
002058.SZ,威 尔 泰,20060802,,002058
002059.SZ,云南旅游,20060810,,002059
002060.SZ,粤 水 电,20060810,,002060
002061.SZ,浙江交科,20060816,,002061
002062.SZ,宏润建设,20060816,,002062
002063.SZ,远光软件,20060823,,002063
002064.SZ,华峰化学,20060823,,002064
002065.SZ,东华软件,20060823,,002065
002066.SZ,瑞泰科技,20060823,,002066
002067.SZ,景兴纸业,20060915,,002067
002068.SZ,黑猫股份,20060915,,002068
002069.SZ,ST獐子岛,20060928,,002069
